method,model_acc,corrupted,exec,drift
KS,0.901000023,0.05,328,0.01
KS,0.911000013,0.05,323,0
KS,0.902999997,0.05,371,0
KS,0.890999973,0.05,332,0
KS,0.912999988,0.05,404,0
KS,0.908999979,0.05,395,0
KS,0.907999992,0.05,397,0
KS,0.907000005,0.05,385,0
KS,0.916000009,0.05,382,0
KS,0.912999988,0.05,480,0
KS,0.879999995,0.1,403,0
KS,0.893000007,0.1,424,0
KS,0.908999979,0.1,399,0
KS,0.867999971,0.1,439,0
KS,0.890999973,0.1,449,0
KS,0.884000003,0.1,370,0
KS,0.883000016,0.1,397,0
KS,0.893999994,0.1,405,0
KS,0.907000005,0.1,354,0.01
KS,0.893000007,0.1,400,0
KS,0.867999971,0.15,420,1
KS,0.88499999,0.15,433,0
KS,0.875,0.15,464,0
KS,0.855000019,0.15,479,0
KS,0.865999997,0.15,393,0
KS,0.875,0.15,411,0
KS,0.866999984,0.15,443,0
KS,0.878000021,0.15,416,0
KS,0.861000001,0.15,400,0
KS,0.870000005,0.15,374,0
KS,0.861999989,0.2,404,0
KS,0.859000027,0.2,406,0
KS,0.86500001,0.2,374,0
KS,0.842000008,0.2,349,0
KS,0.848999977,0.2,376,1
KS,0.84799999,0.2,408,0
KS,0.875999987,0.2,370,0
KS,0.836000025,0.2,392,0
KS,0.855000019,0.2,326,0
KS,0.861999989,0.2,367,0
KS,0.839999974,0.25,472,0
KS,0.825999975,0.25,359,0
KS,0.838999987,0.25,446,0
KS,0.828999996,0.25,413,0
KS,0.815999985,0.25,357,0
KS,0.845000029,0.25,379,1
KS,0.815999985,0.25,527,0
KS,0.827000022,0.25,369,1
KS,0.819999993,0.25,357,0
KS,0.839999974,0.25,398,0
KS,0.755999982,0.5,347,1
KS,0.72299999,0.5,330,1
KS,0.755999982,0.5,343,1
KS,0.748000026,0.5,375,0
KS,0.72299999,0.5,415,1
KS,0.737999976,0.5,373,1
KS,0.742999971,0.5,362,1
KS,0.739000022,0.5,360,1
KS,0.72299999,0.5,355,0
KS,0.727999985,0.5,418,1
MMD,0.901000023,0.05,17711,0.01
MMD,0.911000013,0.05,17459,0
MMD,0.902999997,0.05,17760,0
MMD,0.890999973,0.05,17574,0
MMD,0.912999988,0.05,17557,0
,,,,
MMD,0.888000011,0.1,17711,0
MMD,0.899999976,0.1,17459,0
MMD,0.890999973,0.1,17760,1
MMD,0.89200002,0.1,17574,0
MMD,0.898000002,0.1,17557,1
MMD,0.874000013,0.15,17454,0
MMD,0.870000005,0.15,18061,0
MMD,0.871999979,0.15,18252,1
MMD,0.870000005,0.15,18320,1
MMD,0.870999992,0.15,17684,0
MMD,0.865999997,0.2,17959,1
MMD,0.851000011,0.2,18126,1
MMD,0.86500001,0.2,18188,0
MMD,0.869000018,0.2,17826,1
MMD,0.852999985,0.2,17903,0
MMD,0.851999998,0.25,17812,1
MMD,0.83099997,0.25,17441,0
MMD,0.845000029,0.25,17755,1
MMD,0.842000008,0.25,18035,1
MMD,0.82099998,0.25,17803,1
MMD,0.748000026,0.5,17925,1
MMD,0.745000005,0.5,17772,1
MMD,0.73299998,0.5,18155,1
MMD,0.754999995,0.5,17530,1
MMD,0.736999989,0.5,17964,1
