method,model_acc,corrupted,exec,drift
KS,0.9049999713897705,0.05,350,0
KS,0.9190000295639038,0.05,425,0
KS,0.9150000214576721,0.05,459,0
KS,0.906000018119812,0.05,384,0
KS,0.906000018119812,0.05,398,0
KS,0.9110000133514404,0.05,387,0
KS,0.9179999828338623,0.05,564,0
KS,0.9120000004768372,0.05,480,0
KS,0.8899999856948853,0.05,436,0
KS,0.9039999842643738,0.05,429,0
KS,0.8859999775886536,0.1,406,0
KS,0.8769999742507935,0.1,524,0
KS,0.9049999713897705,0.1,454,0
KS,0.8939999938011169,0.1,441,0
KS,0.8920000195503235,0.1,370,0
KS,0.8740000128746033,0.1,418,0
KS,0.8899999856948853,0.1,649,0
KS,0.9039999842643738,0.1,726,0
KS,0.8830000162124634,0.1,683,0
KS,0.8859999775886536,0.1,762,0
KS,0.878000020980835,0.15,670,0
KS,0.8610000014305115,0.15,604,0
KS,0.8669999837875366,0.15,544,1
KS,0.8659999966621399,0.15,757,0
KS,0.871999979019165,0.15,684,1
KS,0.8700000047683716,0.15,651,0
KS,0.8759999871253967,0.15,707,1
KS,0.8610000014305115,0.15,583,0
KS,0.8659999966621399,0.15,647,0
KS,0.8629999756813049,0.15,728,0
KS,0.8420000076293945,0.2,556,0
KS,0.8140000104904175,0.2,444,0
KS,0.8479999899864197,0.2,410,0
KS,0.8450000286102295,0.2,419,0
KS,0.843999981880188,0.2,393,0
KS,0.8450000286102295,0.2,426,0
KS,0.8399999737739563,0.2,387,0
KS,0.8550000190734863,0.2,408,0
KS,0.8550000190734863,0.2,408,0
KS,0.8339999914169312,0.2,381,0
KS,0.8330000042915344,0.25,383,1
KS,0.8429999947547913,0.25,409,1
KS,0.8379999995231628,0.25,406,0
KS,0.8320000171661377,0.25,378,0
KS,0.8240000009536743,0.25,413,0
KS,0.843999981880188,0.25,404,0
KS,0.8230000138282776,0.25,395,0
KS,0.8339999914169312,0.25,393,0
KS,0.843999981880188,0.25,445,0
KS,0.8460000157356262,0.25,395,0
KS,0.7570000290870667,0.5,458,1
KS,0.7390000224113464,0.5,422,1
KS,0.7490000128746033,0.5,415,1
KS,0.722000002861023,0.5,439,1
KS,0.7429999709129333,0.5,415,1
KS,0.7580000162124634,0.5,510,1
KS,0.7450000047683716,0.5,455,1
KS,0.7379999756813049,0.5,442,1
KS,0.7289999723434448,0.5,474,1
KS,0.75,0.5,405,1
