method,model_acc,corrupted,exec,drift
MMD,0.8880000114440918,0.1,17711,0
MMD,0.8999999761581421,0.1,17459,0
MMD,0.890999972820282,0.1,17760,1
MMD,0.8920000195503235,0.1,17574,0
MMD,0.8980000019073486,0.1,17557,1
MMD,0.8740000128746033,0.15,17454,0
MMD,0.8700000047683716,0.15,18061,0
MMD,0.871999979019165,0.15,18252,1
MMD,0.8700000047683716,0.15,18320,1
MMD,0.8709999918937683,0.15,17684,0
MMD,0.8659999966621399,0.2,17959,1
MMD,0.8510000109672546,0.2,18126,1
MMD,0.8650000095367432,0.2,18188,0
MMD,0.8690000176429749,0.2,17826,1
MMD,0.8529999852180481,0.2,17903,0
MMD,0.8519999980926514,0.25,17812,1
MMD,0.8309999704360962,0.25,17441,0
MMD,0.8450000286102295,0.25,17755,1
MMD,0.8420000076293945,0.25,18035,1
MMD,0.8209999799728394,0.25,17803,1
MMD,0.7480000257492065,0.5,17925,1
MMD,0.7450000047683716,0.5,17772,1
MMD,0.7329999804496765,0.5,18155,1
MMD,0.7549999952316284,0.5,17530,1
MMD,0.7369999885559082,0.5,17964,1
