method,accuracy,mode
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
MMD,0.550999999,periodic
MMD,0.850000024,periodic
MMD,0.819000006,periodic
MMD,0.620999992,periodic
MMD,0.839999974,periodic
MMD,0.859000027,periodic
MMD,0.870999992,periodic
MMD,0.786000013,periodic
MMD,0.91900003,periodic
MMD,0.833000004,periodic
MMD,0.742999971,periodic
MMD,0.862999976,periodic
MMD,0.902999997,periodic
MMD,0.774999976,periodic
MMD,0.911000013,periodic
MMD,0.878000021,periodic
MMD,0.903999984,periodic
MMD,0.938000023,periodic
MMD,0.875,periodic
MMD,0.772000015,periodic
,,
MMD,0.550999999,drift-based
MMD,0.850000024,drift-based
MMD,0.800999999,drift-based
MMD,0.623000026,drift-based
MMD,0.824999988,drift-based
MMD,0.84799999,drift-based
MMD,0.878000021,drift-based
MMD,0.813000023,drift-based
MMD,0.88499999,drift-based
MMD,0.81099999,drift-based
MMD,0.693000019,drift-based
MMD,0.843999982,drift-based
MMD,0.855000019,drift-based
MMD,0.750999987,drift-based
MMD,0.906000018,drift-based
MMD,0.860000014,drift-based
MMD,0.879000008,drift-based
MMD,0.910000026,drift-based
MMD,0.822000027,drift-based
MMD,0.718999982,drift-based
,,
MMD,0.550999999,orig
MMD,0.887000024,orig
MMD,0.828999996,orig
MMD,0.550000012,orig
MMD,0.842000008,orig
MMD,0.851999998,orig
MMD,0.907000005,orig
MMD,0.750999987,orig
MMD,0.908999979,orig
MMD,0.736999989,orig
MMD,0.535000026,orig
MMD,0.816999972,orig
MMD,0.841000021,orig
MMD,0.555000007,orig
MMD,0.897000015,orig
MMD,0.833000004,orig
MMD,0.859000027,orig
MMD,0.911000013,orig
MMD,0.762000024,orig
MMD,0.58099997,orig
