method,model_acc,model_acc_periodic,model_acc_drift,corrupted,exec,drift,epoch
MMD,0.550999999,0.550999999,0.550999999,1,21035,1,0
MMD,0.887000024,0.850000024,0.850000024,0.1,24364,0,1
MMD,0.828999996,0.819000006,0.800999999,0.25,23904,1,2
MMD,0.550000012,0.620999992,0.623000026,1,26659,1,3
MMD,0.842000008,0.839999974,0.824999988,0.2,23395,1,4
MMD,0.851999998,0.859000027,0.84799999,0.25,23112,0,5
MMD,0.907000005,0.870999992,0.878000021,0.05,24391,0,6
MMD,0.750999987,0.786000013,0.813000023,0.5,24266,1,7
MMD,0.908999979,0.91900003,0.88499999,0.05,25068,0,8
MMD,0.736999989,0.833000004,0.81099999,0.5,22437,1,9
MMD,0.535000026,0.742999971,0.693000019,1,21886,1,10
MMD,0.816999972,0.862999976,0.843999982,0.25,24189,0,11
MMD,0.841000021,0.902999997,0.855000019,0.2,30615,1,12
MMD,0.555000007,0.774999976,0.750999987,1,23326,1,13
MMD,0.897000015,0.911000013,0.906000018,0.1,23634,0,14
MMD,0.833000004,0.878000021,0.860000014,0.25,24559,0,15
MMD,0.859000027,0.903999984,0.879000008,0.2,24005,0,16
MMD,0.911000013,0.938000023,0.910000026,0.05,20607,1,17
MMD,0.762000024,0.875,0.822000027,0.5,20391,1,18
MMD,0.58099997,0.772000015,0.718999982,1,17806,1,19
,,,,,,,
,0.770300004,0.825550002,0.806200007,,,,
