method,model_acc,model_acc_periodic,model_acc_drift,corrupted,exec,drift
MMD,0.899999976,0.899999976,0.899999976,0.05,22602,0
MMD,0.89200002,0.880999982,0.89200002,0.1,20628,0
MMD,0.896000028,0.884000003,0.896000028,0.1,22672,0
MMD,0.736999989,0.730000019,0.736999989,0.5,23907,1
MMD,0.907000005,0.897000015,0.884000003,0.05,21674,0
MMD,0.749000013,0.774999976,0.77700001,0.5,20271,1
MMD,0.745000005,0.774999976,0.779999971,0.5,20586,1
MMD,0.901000023,0.846000016,0.853999972,0.1,20472,1
MMD,0.739000022,0.751999974,0.763000011,0.5,21241,1
MMD,0.896000028,0.878000021,0.861999989,0.1,22260,0
,,,,,,
,0.836200011,0.831799996,0.834499997,,,
